image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Nonliving_Things\Tools\trowel.jpg,nonliving,right,1,0.8164851999899838,0.021076600009109825,0.795408599980874,3,28,normal,left,123.75173290001112,166.36486500001047,166.38579100000788,166.83923920002417,166.85338750001392,167.63687870002468,
Nonliving_Things\Furniture\chair.jpg,nonliving,right,1,0.8475213999918196,0.3854793999926187,0.4620419999992009,3,29,normal,left,123.75173290001112,167.64871310000308,167.6691641000216,168.0877287000185,168.4694980000204,168.92062710001483,
Nonliving_Things\Musical_Inst\flute.jpg,nonliving,right,1,0.8447565999813378,0.06655679998220876,0.778199799999129,3,30,normal,left,123.75173290001112,168.93149129999802,168.95262060000096,169.39123390000896,169.4531299000082,170.22036760000628,
Living_Things\Insects\beetle.jpg,living,left,1,0.7370892000035383,0.47560710000107065,0.26148210000246763,4,1,pressure,left,173.9297252999968,173.92973620002158,174.82042860001093,175.26851590001024,175.7368777000229,175.98746270002448,
Nonliving_Things\Clothing\shirt.jpg,nonliving,right,1,0.5682083000137936,0.010657000006176531,0.5575513000076171,4,2,pressure,left,173.9297252999968,175.99833190001664,176.0201915000216,176.4690201000194,176.47408949999954,177.02095860001282,
Living_Things\Flowers\pansy.jpg,living,left,1,0.6604881000239402,0.4491420000267681,0.21134609999717213,4,3,pressure,left,173.9297252999968,177.0316204999981,177.05316950002452,177.49380860000383,177.93718040001113,178.13742100002128,
Living_Things\Animals\hippopotamus.jpg,living,left,1,0.6094694999919739,0.014198999997461215,0.5952704999945126,4,4,pressure,left,173.9297252999968,178.14848350000102,178.16985659999773,178.61280550001538,178.61988929999643,179.204390400002,
Nonliving_Things\Furniture\filling_cabinet.jpg,nonliving,right,1,0.8973914999805856,0.019291099975816905,0.8781004000047687,4,5,pressure,left,173.9297252999968,179.21514320001006,179.23675589999766,179.6723350000102,179.68687020000652,180.55430530000012,
Living_Things\Animals\platypus.jpg,living,left,1,0.6408271000254899,0.011936399998376146,0.6288907000271138,4,6,pressure,left,173.9297252999968,180.56495460000588,180.5868812999979,181.03053530000034,181.0368113000004,181.6541511999967,
Nonliving_Things\Kitchen_Uten\fondue.jpg,nonliving,right,1,0.650153099995805,0.009864299994660541,0.6402888000011444,4,7,pressure,left,173.9297252999968,181.6656749000249,181.686772200017,182.1363687000121,182.14058550001937,182.77058160002343,
